"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol"
"1",63.1830335529992,-23.2414489680855,2.41258726213043,-9.63341278174627,5.77779780011496e-22,5.5131746608697e-18,"NFKBIL1"
"2",16.200177876231,-21.8125586428862,2.00117175648437,-10.89989331111,1.15392510510794e-27,2.20215067058799e-23,"RNF39"
"3",1358.87754176961,-8.36805466904523,1.16020599992522,-7.21255938133793,5.49098719775719e-13,2.61974999204995e-09,"ANKRD30A"
"4",1245.3421407419,-7.79274228803738,2.19510116114508,-3.55006066507307,0.000385142387873552,0.0187981005886928,"POSTN"
"5",1618.95253744073,-7.57126137405428,1.38316724194537,-5.47385821790113,4.4034141980372e-08,4.94322097384364e-05,"TFAP2B"
"6",3168.58319135841,-7.35326979678386,1.4863394921863,-4.94723435355116,7.52753287807283e-07,0.00031518089322713,"SCGB2A2"
"7",21.155242911514,-6.91441101272476,1.59191607661084,-4.34345196603919,1.40261156230469e-05,0.00238994991562702,"SCGN"
"8",37.4238667168603,-6.64500215636558,1.28434099316638,-5.17386129674423,2.29305074551664e-07,0.000162076223805332,"ABCC12"
"9",14.1304970036732,-6.3299297435176,1.62279214845631,-3.90064109537317,9.59382920076666e-05,0.00836852363507821,"HOXD9"
"10",23.0160954979525,-6.32188086476203,1.59547126570374,-3.96239092527531,7.42029103710684e-05,0.00694816829258008,"SOX3"
"11",158.210372301386,-6.22706210334726,1.69426444870189,-3.67537789517941,0.000237497610740704,0.014667975415455,"TSEN34"
"12",67.9826821857304,-6.14285576040525,1.67840949574622,-3.65992671989391,0.000252287386727684,0.0151881781965651,"IER3"
"13",47.2669893734914,-5.99984375274566,1.74928760999321,-3.42987837933006,0.00060385184589784,0.0256058635829033,"NXPH1"
"14",34.3805419780359,-5.98021516956543,1.6242072767219,-3.68192856618347,0.000231476275558004,0.0145612667611075,"GJB1"
"15",8.48227834860236,-5.91955518004426,1.81769996286236,-3.2566184194242,0.00112747889347668,0.037616795809631,"CT45A5"
"16",15.1610312850431,-5.90447172340706,1.51545790229366,-3.89616347275011,9.77284391940807e-05,0.00847749787990834,"PTPRT"
"17",254.704896364548,-5.81755255869561,1.10781020273272,-5.25139824885619,1.50948911962165e-07,0.000120029543161915,"BRINP3"
"18",431.710641854522,-5.65142415075584,1.42230927343177,-3.97341440172151,7.08496268362035e-05,0.00676493427856046,"SCGB1D2"
"19",1176.56182746072,-5.53357193718605,1.076303619249,-5.14127411468442,2.728815884189e-07,0.000179574904599527,"OLFML3"
"20",23.3569657154098,-5.50292460700296,1.5173477628002,-3.62667329264555,0.000287096168397593,0.0158350961783227,"PPP1R18"
"21",23.3569657154098,-5.50292460700296,1.5173477628002,-3.62667329264555,0.000287096168397593,0.0158350961783227,"PPP1R18"
"22",21.9679019466178,-5.44851822006411,1.12641385963652,-4.83704827799464,1.31781428998071e-06,0.00045725759836349,"SNCB"
"23",99.6646852048724,-5.44281499929142,1.27474760577123,-4.26971972698744,1.95718753552522e-05,0.00313873671663557,"FOXJ1"
"24",12.1209955643003,-5.41966078477261,1.68744089322206,-3.21176333141015,0.00131923005328197,0.0418566063932902,"SGCD"
"25",5.93011921906993,-5.40255318532325,1.6822427537948,-3.21151817901202,0.0013203561647852,0.0418566063932902,"MS4A14"
"26",40.8135270738895,-5.32498833265085,1.23653352162175,-4.30638412913141,1.65944790023359e-05,0.0027300779075912,"DLX6"
"27",241.594398086392,-5.29595934905673,1.13880625951334,-4.65044805015378,3.31214671300003e-06,0.000877902887095731,"LRRC31"
"28",31.8584833777312,-5.2823185091015,1.60270018253386,-3.29588688306642,0.000981115104397401,0.0344938191695222,"ZNRD1"
"29",17.7737400990135,-5.2688078969299,1.22333575226471,-4.30691891999069,1.65544254962786e-05,0.0027300779075912,"CEACAM7"
"30",136.062360492678,-5.1896586117253,1.35874372301776,-3.81945360542246,0.000133747611788002,0.0106351642640093,"BPIFB2"
"31",5.09261650217364,-5.17565212174245,1.56556260918261,-3.30593748942733,0.000946592030329994,0.0339140063506948,"ARHGAP36"
"32",1933.31878285733,-5.14886412571679,1.12595261463808,-4.57289592721609,4.81029099695364e-06,0.00114749491732329,"GFRA1"
"33",178.444882899116,-5.14428985738706,1.0168688147025,-5.05895134456659,4.2156840670421e-07,0.00021171609140903,"CRYM"
"34",43.9803008152699,-5.12789006316104,1.36843096917244,-3.74727712152125,0.000178764554982703,0.01270931623473,"PTH2R"
"35",2061.35277330013,-5.10316763264187,1.10100051219261,-4.63502748284747,3.56890061048001e-06,0.0009329986198685,"TFF1"
"36",7.64783288110945,-5.09318126074964,1.25946094707931,-4.04393742621455,5.25609527595091e-05,0.00560431007317178,"EIF4E1B"
"37",24.1311448767477,-5.02407774660958,1.50872564748632,-3.3300141447056,0.00086841572439985,0.0321802828824208,"FOXG1"
"38",51.6104205493998,-5.00044346858012,1.02486877274189,-4.87910608809179,1.06567734102401e-06,0.000398772281884355,"ZNF423"
"39",542.309192178669,-4.968871131412,0.978644364081282,-5.07730010388054,3.82835937108296e-07,0.000208744029250706,"CNTNAP2"
"40",203.380262838238,-4.87222737143347,0.957843906733297,-5.08666113255351,3.64422115934573e-07,0.000207265495842663,"COL14A1"
"41",145.81458096404,-4.83925411487566,1.20774774207403,-4.00684178184871,6.15360545680086e-05,0.00621351357341733,"ITGA4"
"42",30.1125181238313,-4.75838262365887,1.06165025037178,-4.48206235715815,7.392513435402e-06,0.00148503922527591,"PAX2"
