,estimate,se,n,tstat,fstat,pvalue,df,fdr
ENSG00000183196,0.079369253,0.176219015,34,0.450401184,0.202861226,0.65545804,32,0.938265159
ENSG00000197959,-0.079689298,0.176214501,34,-0.452228945,0.204511019,0.654154874,32,0.938265159
ENSG00000198771,0.083984116,0.17615216,34,0.47677029,0.227309909,0.636765503,32,0.938265159
ENSG00000223865,-0.080999032,0.176195839,34,-0.459710244,0.211333509,0.648832358,32,0.938265159
ENSG00000068024,-0.077157849,0.176249704,34,-0.437775766,0.191647622,0.664489621,32,0.939466333
ENSG00000198759,0.07650612,0.176258583,34,0.43405614,0.188404733,0.667160291,32,0.940492552
ENSG00000120068,0.076321262,0.176261087,34,0.433001201,0.18749004,0.667918538,32,0.940551221
ENSG00000169515,0.076158901,0.176263282,34,0.432074678,0.186688528,0.668584777,32,0.940677425
ENSG00000196932,0.075872595,0.17626714,34,0.430440948,0.18527941,0.669760218,32,0.94113695
ENSG00000153162,-0.075673935,0.176269809,34,-0.429307412,0.184304854,0.670576276,32,0.941345681
ENSG00000269067,0.075576617,0.176271114,34,0.428752141,0.183828398,0.670976177,32,0.941506681
ENSG00000203837,0.075531787,0.176271714,34,0.428496357,0.183609128,0.671160423,32,0.941629586
ENSG00000197245,0.075438113,0.176272968,34,0.427961896,0.183151385,0.671545472,32,0.941638059
ENSG00000239713,-0.075467617,0.176272573,34,-0.42813023,0.183295494,0.671424187,32,0.941638059
ENSG00000129988,-0.074922509,0.176279839,34,-0.425020295,0.180642251,0.673666344,32,0.942008029
ENSG00000164749,0.073755856,0.176295213,34,0.418365619,0.175029791,0.678474331,32,0.943736396
ENSG00000137033,0.073682037,0.176296178,34,0.417944606,0.174677693,0.678778976,32,0.943805061
ENSG00000156510,0.072658482,0.176309453,34,0.412107696,0.169832753,0.683008212,32,0.945292608
ENSG00000131788,-0.072312971,0.176313892,34,-0.410137681,0.168212918,0.684437984,32,0.945866344
ENSG00000116774,-0.071917154,0.176318951,34,-0.40788102,0.166366926,0.686077253,32,0.94652585
ENSG00000134198,-0.071561768,0.17632347,34,-0.405855034,0.164718308,0.687550276,32,0.946897375
ENSG00000162511,0.07158567,0.176323167,34,0.405991293,0.16482893,0.687451168,32,0.946897375
ENSG00000141480,-0.071387316,0.17632568,34,-0.404860573,0.163912083,0.688273768,32,0.947147481
ENSG00000168412,0.069717125,0.176346562,34,0.395341559,0.156294948,0.6952141,32,0.950079939
ENSG00000164379,-0.069587659,0.17634816,34,-0.394603828,0.155712181,0.695753109,32,0.950128004
ENSG00000158246,-0.068795103,0.176357878,34,-0.390088062,0.152168696,0.699055969,32,0.951542131
ENSG00000137731,-0.068070591,0.176366663,34,-0.385960646,0.14896562,0.702080018,32,0.952178152
ENSG00000164128,-0.067522632,0.176373245,34,-0.382839425,0.146566025,0.704370142,32,0.95269547
ENSG00000165949,-0.066968158,0.176379852,34,-0.379681454,0.144158006,0.706690092,32,0.953199409
ENSG00000081181,0.065973823,0.176391561,34,0.374019154,0.139890327,0.710856946,32,0.95443434
ENSG00000171056,0.06602061,0.176391014,34,0.374285562,0.140089682,0.710660694,32,0.95443434
ENSG00000174564,0.065789867,0.176393709,34,0.372971734,0.139107915,0.711628734,32,0.954608611
ENSG00000164265,0.06514561,0.176401181,34,0.369303707,0.136385228,0.714333944,32,0.955267611
ENSG00000002587,0.065012432,0.176402716,34,0.368545526,0.135825805,0.714893581,32,0.955315253
ENSG00000185479,-0.064676613,0.176406574,34,-0.366633805,0.134420347,0.716305395,32,0.955664781
ENSG00000167105,-0.06370185,0.176417657,34,-0.361085453,0.130382705,0.720408617,32,0.957108299
ENSG00000145358,0.062737947,0.176428451,34,0.355599939,0.126451317,0.724473677,32,0.957701606
ENSG00000137648,0.062597706,0.176430008,34,0.354801922,0.125884404,0.725065732,32,0.957819957
ENSG00000137857,-0.062588995,0.176430105,34,-0.354752353,0.125849232,0.725102514,32,0.957819957
ENSG00000269028,-0.06256215,0.176430402,34,-0.354599602,0.125740877,0.725215863,32,0.957880596
ENSG00000156687,-0.062453436,0.176431606,34,-0.353980996,0.125302546,0.725674964,32,0.958235572
ENSG00000057149,-0.06227838,0.176433539,34,-0.352984929,0.12459836,0.726414416,32,0.958397951
ENSG00000178343,0.061562957,0.176441386,34,0.348914494,0.121741324,0.729438963,32,0.959272237
ENSG00000170373,0.061328717,0.176443935,34,0.347581896,0.120813175,0.730430115,32,0.95968385
ENSG00000028137,0.061134672,0.176446039,34,0.346478006,0.120047009,0.731251517,32,0.959911001
ENSG00000073146,0.058829262,0.176470529,34,0.33336593,0.111132844,0.741032627,32,0.960522456
ENSG00000081277,0.059776097,0.176460585,34,0.338750416,0.114751845,0.73701059,32,0.960522456
ENSG00000101443,-0.058276621,0.176476259,34,-0.330223574,0.109047609,0.743383304,32,0.960522456
ENSG00000132297,-0.057854959,0.176480594,34,-0.327826179,0.107470003,0.745178393,32,0.960522456
ENSG00000170044,-0.059811409,0.176460211,34,-0.338951251,0.11488795,0.736860719,32,0.960522456
ENSG00000183837,-0.058314773,0.176475865,34,-0.330440499,0.109190923,0.74322095,32,0.960522456
ENSG00000213626,0.057949023,0.17647963,34,0.328360974,0.107820929,0.74477783,32,0.960522456
ENSG00000235098,-0.060682184,0.17645092,34,-0.34390404,0.118269989,0.733168052,32,0.960522456
ENSG00000165071,0.05716743,0.176487596,34,0.32391755,0.104922579,0.748108147,32,0.960895876
ENSG00000196482,-0.056945103,0.176489842,34,-0.322653714,0.104105419,0.749056287,32,0.961450367
ENSG00000109819,0.05637054,0.176495606,34,0.319387782,0.102008555,0.751508253,32,0.961927866
ENSG00000144908,-0.055734121,0.176501922,34,-0.315770617,0.099711083,0.754226984,32,0.962501965
ENSG00000165152,0.05578892,0.176501381,34,0.316082061,0.099907869,0.75399277,32,0.962501965
ENSG00000108846,-0.054675665,0.176512267,34,-0.309755609,0.095948537,0.758755036,32,0.963707379
ENSG00000094963,-0.053279795,0.176525606,34,-0.30182474,0.091098174,0.76473858,32,0.965296159
ENSG00000196878,-0.053070637,0.176527575,34,-0.300636527,0.090382321,0.765636321,32,0.965439365
ENSG00000271447,-0.052061334,0.176536967,34,-0.294903301,0.086967957,0.769972609,32,0.966553152
ENSG00000038295,-0.051531178,0.176541827,34,-0.291892176,0.085201043,0.772253085,32,0.967385257
ENSG00000150527,-0.050807934,0.176548378,34,-0.287784769,0.082820073,0.775367153,32,0.967976526
ENSG00000175538,-0.05016333,0.176554138,34,-0.284124348,0.080726645,0.778145527,32,0.967976526
ENSG00000181577,0.050427192,0.176551789,34,0.285622661,0.081580305,0.777007899,32,0.967976526
ENSG00000204469,-0.050920552,0.176547364,34,-0.288424311,0.083188583,0.774882028,32,0.967976526
ENSG00000196739,0.049700158,0.176558232,34,0.281494423,0.07923911,0.780143562,32,0.968211914
ENSG00000150526,0.049436857,0.176560542,34,0.279999465,0.0783997,0.781280006,32,0.968535325
ENSG00000198286,-0.047433107,0.176577718,34,-0.268624532,0.072159139,0.789942916,32,0.970350356
ENSG00000275395,0.047134723,0.176580215,34,0.266930938,0.071252126,0.79123508,32,0.970780968
ENSG00000116962,0.045946765,0.17659,34,0.260188943,0.067698286,0.796384959,32,0.971090503
ENSG00000136014,0.046222754,0.176587749,34,0.261755159,0.068515763,0.795187765,32,0.971090503
ENSG00000205403,-0.046301313,0.176587106,34,-0.262200985,0.068749357,0.794847074,32,0.971090503
ENSG00000088826,-0.04351013,0.176609285,34,-0.246363776,0.06069511,0.806974181,32,0.971172646
ENSG00000158517,-0.044661293,0.176600305,34,-0.252894767,0.063955763,0.801967092,32,0.971172646
ENSG00000107562,-0.042610766,0.176616138,34,-0.241262022,0.058207363,0.810891306,32,0.97213812
ENSG00000143167,-0.041310047,0.176625794,34,-0.233884563,0.054701989,0.816564474,32,0.97223897
ENSG00000146477,0.040415305,0.176632263,34,0.228810436,0.052354216,0.820472283,32,0.97223897
ENSG00000204267,-0.040962101,0.176628327,34,-0.23191128,0.053782842,0.818083625,32,0.97223897
ENSG00000143226,-0.038705811,0.176644228,34,-0.219117326,0.048012402,0.827950284,32,0.972280341
