"","estimate","se","n","tstat","fstat","pvalue","df","fdr"
"ENSG00000002587",-0.0783044884015818,0.0423763930467381,734,-1.84783278546661,3.41448600304492,0.0650422745913157,710,0.622078178691434
"ENSG00000003989",-0.0424938366769515,0.0366480408196352,734,-1.15951182454982,1.34446767127053,0.246637408569149,710,0.805406930632747
"ENSG00000005513",-0.0407522149180779,0.0380872866424384,734,-1.06996897155363,1.14483360008712,0.284996880423059,710,0.826275852278229
"ENSG00000006062",0.102995985829163,0.0375358739030485,734,2.74393467154093,7.52917748168406,0.00622403601232713,710,0.320238302099494
"ENSG00000007174",-0.0145940701911583,0.0358999664044238,734,-0.406520441460912,0.165258869325349,0.68448274535171,710,0.94926692167123
"ENSG00000010438",-0.0488512346825636,0.0393986774102906,734,-1.23992067484489,1.53740327990742,0.215414371979296,710,0.785922788345623
"ENSG00000012779",-0.0118466328098905,0.0376337673361535,734,-0.314787321292436,0.0990910576462088,0.75301562413265,710,0.961830427842697
"ENSG00000017483",0.0131908274646046,0.0396170680616462,734,0.332958194788141,0.110861159476215,0.739264131210524,710,0.959512344268876
"ENSG00000018625",-0.0186761762117836,0.0371554507321416,734,-0.50264970128939,0.252656722205961,0.615366448383623,710,0.934876380327793
"ENSG00000019582",0.00353794866978608,0.0422994016943585,734,0.0836406314999473,0.00699575523728125,0.933365736864402,710,0.991763830169209
"ENSG00000023171",0.0480351530751433,0.0373729912380153,734,1.28529056636715,1.65197183999208,0.199109857067898,710,0.773258445677962
"ENSG00000028137",-0.00451474944488689,0.0389455852220637,734,-0.115924550090704,0.0134385013134427,0.907745117964717,710,0.988220585801628
"ENSG00000029534",-0.00310711324000208,0.0363803613916461,734,-0.0854063324592359,0.00729424162387633,0.931962436256176,710,0.99152104197516
"ENSG00000037897",-0.0225511015203654,0.0361524285729452,734,-0.623778329991407,0.389099404966577,0.532973521559988,710,0.914578914077554
"ENSG00000038295",0.0452227182490274,0.0359951999263678,734,1.25635413448281,1.57842571123168,0.209400816025587,710,0.781567188746434
"ENSG00000044524",0.0991885553459899,0.0361406408921224,734,2.74451567259312,7.53236627710894,0.00621314675245497,710,0.320238302099494
"ENSG00000049239",0.0762314910831893,0.0364323899310682,734,2.09240983716476,4.37817892666356,0.0367563819165541,710,0.543585828576755
"ENSG00000050165",0.0416999180250008,0.0451568021876015,734,0.923447099990844,0.852754546481226,0.356087970118566,710,0.85542018338707
"ENSG00000054219",-0.0407701941451837,0.0398925225939755,734,-1.02200090378192,1.04448584733067,0.307128565214849,710,0.835070880806707
"ENSG00000057149",-0.0506693212667386,0.0360045311794377,734,-1.40730401443683,1.98050458904987,0.159774874658005,710,0.743789748773182
"ENSG00000058085",0.038478862127088,0.0420544820120574,734,0.91497648493342,0.837181967980684,0.36051460886424,710,0.85706658382917
"ENSG00000058866",0.0185400010339294,0.0380066594569932,734,0.487809276027232,0.23795788977785,0.625835535932428,710,0.93714618317709
"ENSG00000060558",0.0195130728406159,0.0395652583771713,734,0.493187044416592,0.24323346078006,0.622032932808766,710,0.936493096385808
"ENSG00000061987",0.0193219762023937,0.0365607147776068,734,0.528490110763051,0.279301797174049,0.59732436142407,710,0.930840840693996
"ENSG00000062524",0.0170793075938183,0.0361698863320479,734,0.472196883258806,0.222969896558995,0.636931358664049,710,0.939986170911071
"ENSG00000064300",0.0480552405304276,0.0380712775293182,734,1.26224397102043,1.59325984237713,0.207275464441571,710,0.78055008475037
"ENSG00000065325",-0.0418324100446867,0.036215239901271,734,-1.15510514796337,1.334267902851,0.248435965569429,710,0.805894192770447
"ENSG00000065534",0.00975022076450072,0.0413774638489788,734,0.235640850296855,0.055526610328265,0.813779324265674,710,0.973530060728885
"ENSG00000065618",-0.0553879571035031,0.0431111323550011,734,-1.28477156775674,1.6506379813158,0.19929111162628,710,0.773446337343465
"ENSG00000065675",0.0100461164733364,0.0395082167473883,734,0.25427916773795,0.0646578951452502,0.7993535171567,710,0.970850196640467
"ENSG00000066379",0.00446302927767039,0.0416446913365824,734,0.107169224562121,0.011485242692932,0.91468500475335,710,0.988922532702995
"ENSG00000066583",-0.0754294428944872,0.0379268548142448,734,-1.98881355345493,3.95537935040564,0.0471051983890548,710,0.575256800705618
"ENSG00000067064",-0.0467268112544164,0.0365897405053996,734,-1.27704680626311,1.63084854538651,0.202003195307648,710,0.776187597305325
"ENSG00000068024",-0.0340280932500407,0.0367058936347908,734,-0.927047127325298,0.859416376281783,0.354217084105489,710,0.854928331001774
"ENSG00000069122",0.0558791288218307,0.0363676905773607,734,1.53650473633913,2.36084680479225,0.12486013323658,710,0.708199118845993
"ENSG00000071909",-0.0184987379838099,0.0360493973211205,734,-0.513149715625674,0.263322630646402,0.608006223495845,710,0.933744206488332
"ENSG00000073146",-0.0342141299181965,0.0360518117288957,734,-0.949026644638047,0.900651572232652,0.342929970543786,710,0.851239934018508
"ENSG00000073282",-0.0514502813896242,0.041958065463832,734,-1.22623101949194,1.50364251316389,0.220518278952575,710,0.78892150917986
"ENSG00000073737",-0.0276070097676591,0.0374138900599005,734,-0.737881298187908,0.544468810215146,0.460830386214981,710,0.892762526126749
"ENSG00000073969",0.0333649174093594,0.038328765563077,734,0.870492877065172,0.757757849020986,0.384325323972123,710,0.8653105083374
"ENSG00000075223",0.0235228879042949,0.0407957032272091,734,0.576602093933414,0.33246997472799,0.564391034806171,710,0.922760057562953
"ENSG00000075340",0.0122202375109448,0.0386613925145799,734,0.316083739258391,0.0999089302231746,0.752031845962705,710,0.961830427842697
"ENSG00000077092",0.0538327662233193,0.0372462463793836,734,1.44532057472284,2.08895156371699,0.148809075508736,710,0.735260996640531
"ENSG00000077274",0.0384405443183349,0.0358488071223278,734,1.07229633017253,1.14981941970118,0.283951287977159,710,0.826275852278229
"ENSG00000078053",0.0623675438560039,0.0402555185809729,734,1.54929177550038,2.40030500563273,0.121757200091009,710,0.704924843887873
"ENSG00000078898",-0.0523519759115085,0.0359388586016479,734,-1.45669556431344,2.12196196709012,0.145642519352126,710,0.731658254192728
"ENSG00000081041",0.0645038986898693,0.0366449682917044,734,1.76023890036962,3.0984409863742,0.0787978508962363,710,0.644091667137977
"ENSG00000081181",-0.0163069339519855,0.0374560026440256,734,-0.435362366533433,0.189540390193328,0.663431735751709,710,0.944630551043373
"ENSG00000081277",0.0291414432067144,0.0401644056081153,734,0.725553951701611,0.526428536829494,0.46835133522056,710,0.895297301534096
"ENSG00000081842",0.0284386241364334,0.0403844790750924,734,0.704196879290026,0.495893244801421,0.481541071061868,710,0.899258133790114
"ENSG00000081853",-0.0413382737651243,0.0455286043763101,734,-0.907962682612645,0.824396233016735,0.36420600920787,710,0.858232114733246
"ENSG00000082074",-0.0144821794836566,0.0371720586664302,734,-0.389598531886945,0.151787016048181,0.696950270620187,710,0.951593656417633
"ENSG00000082175",-0.0325270502883047,0.0372533614191135,734,-0.873130612895945,0.762357067175711,0.382887087319125,710,0.865058435584913
"ENSG00000086967",0.0735335701905481,0.0365496509756268,734,2.01188159743534,4.04766756209867,0.0446097151224249,710,0.569972233101599
"ENSG00000087494",-0.0232731641210147,0.0384025661005332,734,-0.60603148394012,0.367274159526352,0.544687540157446,710,0.917442192992511
"ENSG00000088826",0.00843218124502828,0.0373456890189759,734,0.225787272012675,0.0509798922025547,0.821431854876914,710,0.974464943629152
"ENSG00000088970",-0.111149407324177,0.037292736952655,734,-2.98045722590131,8.88312527542705,0.00297651953786225,710,0.234189893253639
"ENSG00000089199",-0.0127586885074704,0.0366198314886847,734,-0.348409263199717,0.121389014683017,0.727636128668078,710,0.957844549865314
"ENSG00000094755",0.00337397966640559,0.0359460370250088,734,0.0938623543969034,0.00881014157258997,0.925244979491556,710,0.990221094756648
"ENSG00000094963",0.0356318996547088,0.0361385500954954,734,0.98598033292847,0.972157216921304,0.32447863970895,710,0.843789248001008
"ENSG00000095303",-0.0210224463978373,0.0376019676785678,734,-0.559078359343933,0.312568611886329,0.5762845393288,710,0.926485489532607
"ENSG00000099337",-0.0492857426590384,0.0364243601177125,734,-1.35309837975909,1.83087522530627,0.176454875887634,710,0.757824074116483
"ENSG00000100109",-0.00439812744743256,0.03878427575616,734,-0.113399757032565,0.0128595048947904,0.90974568862891,710,0.988307675146553
"ENSG00000100170",-0.0247333869002338,0.0390674882637091,734,-0.633093858844498,0.400807834106291,0.526876209549056,710,0.91292785882245
"ENSG00000100280",-0.0345752997310339,0.0371220383101986,734,-0.931395508029929,0.86749759237802,0.351965602628003,710,0.853400910332731
"ENSG00000100351",0.00453542723250181,0.0376698991362226,734,0.120399240149296,0.0144959770281722,0.904200955339584,710,0.987837905814892
